drinkID	przepNo	przepOpis	przepOpcja
alexander	1	Do shakera wsyp kostki lodu.	0
alexander	2	Wlej wszystkie składniki.	0
alexander	3	Wstrząśnij.	0
alexander	4	Przelej do schłodzonego kieliszka do koktajli.	0
alexander	5	Posyp świeżo zmielonym gałką muszkatołową na wierzchu.	0
americano	1	Do szklanki dowhiskey wsyp kostki lodu.	0
americano	2	Dolej składniki i wymieszaj bezpośrednio w szklance.	0
americano	3	Dodaj odrobinę wody sodowej.	0
americano	4	Delikatnie wymieszaj.	0
americano	5	Udekoruj połówką plastra pomarańczy i skórką cytryny.	0
angelface	1	Do shakera wsyp kostki lodu.	0
angelface	2	Wlej wszystkie składniki.	0
angelface	3	Wstrząśnij.	0
angelface	4	Przelej do schłodzonego kieliszka do koktajli.	0
armageddon	1	Wlej sok z mango, rum, malibou oraz grenadynę do shakera bez lodu.	0
armageddon	2	Wstrząśnij.	0
armageddon	3	Przecedź do szklanki wypełnionej lodem.	0
armageddon	4	Wlej sok z pomarańczy i sok z cytryny do shakera. 	0
armageddon	5	Wstrząśnij.	0
armageddon	6	Po odwróconej łyżce wlej delikatnie by utworzyć drugą warstwę.	0
aviation	1	Do shakera wsyp kruszony lód.	0
aviation	2	Wlej wszystkie składniki.	0
aviation	3	Wstrząśnij.	0
aviation	4	Przelej do schłodzonego kieliszka do koktajli.	0
b52	1	Wlej do kieliszka likier kawowy (najlepiej Kahlua)	0
b52	2	Po odwróconej łyżce dolej delikatnie Baileys	0
b52	3	Po odwróconej łyżce delikatnie dolej Cointreau.	0
barracuda	1	Wypełnij lodem szklankę highball.	0
barracuda	2	Do shakera wsyp kostki lodu.	0
barracuda	3	Wlej wszystkie składniki oprócz prosecco.	0
barracuda	4	Mocno wstrząśnij.	0
barracuda	5	Odcedź zawartość do schłodzonej szklanki.	0
barracuda	6	Dopełnij Prosecco.	0
beesknees	1	Do shakera wlej miód i sok z cytryny oraz pomarańczy.	0
beesknees	2	Wymieszaj aż składniki się rozpuszczą.	0
beesknees	3	Dodaj kostki lodu.	0
beesknees	4	Dodaj gin i wstrząśnij.	0
beesknees	5	Przelej do schłodzonego kieliszka do koktajli.	0
bellini	1	Wsyp lód do szklanicy barmańskiej.	0
bellini	2	Wlej puree brzoskwiniowe oraz proseco.	0
bellini	3	Delikatnie wymieszaj.	0
bellini	4	Przelej do schłodzonego kieliszka do szampana.	0
bemylover	1	Wyciśnij imbir praską do shakera.	0
bemylover	2	Obierz kiwi i pokrój na małe kawałki - wrzuć do shakera.	0
bemylover	3	Wlej sok z cytryny.	0
bemylover	4	Ugnieć.	0
bemylover	5	Dodaj gin oraz lód.	0
bemylover	6	Wstrząśnij.	0
bemylover	7	Przelej całą zawartość shakera do szklanki.	0
bemylover	8	Uzupełnij Spritem.	0
betweenthesheets	1	Wsyp lód do shakera.	0
betweenthesheets	2	Dodaj wszystkie składniki do shakera.	0
betweenthesheets	3	Wstrząśnij.	0
betweenthesheets	4	Przelej do schłodzonego kieliszka do koktajli.	0
billiejean	1	Wsyp lód do shakera.	0
billiejean	2	Wlej wszystkie składniki do shakera.	0
billiejean	3	Wstrząśnij.	0
billiejean	4	Przecedź do 3 kieliszków 50ml.	0
blackrussian	1	Wsyp lód do szklanki typu old fashioned	0
blackrussian	2	Wlej składniki do szklanki.	0
blackrussian	3	Delikatnie wymieszaj.	0
bloodymary	1	Wsyp lód do szklanicy barmańskiej.	0
bloodymary	2	Wlej wszystkie składniki.	0
bloodymary	3	Delikatnie wymieszaj	0
bloodymary	4	Przelej do szklanki typu rocks.	0
bloodymary	5	Jeśli podajesz z lodem, przelej do szklanki typu highball.	0
bluepinacolada	1	Wlej wszystkie składniki do shakera z 2-3 kostkami lodu.	0
bluepinacolada	2	Energicznie wstrząsaj tak, by składniki się połączyły i mleczko się spieniło.	0
bluepinacolada	3	Przecedź do szklanki.	0
boombastic	1	Pokrój pomarańczę w połówki plastrów, wrzuć do szklanki.	0
boombastic	2	Dodaj miętę i ugnieć.	0
boombastic	3	Dodaj wódkę, kostki lodu.	0
boombastic	4	Delikatnie zamieszaj łyżką.	0
boombastic	5	Uzupełnij Spritem.	0
bornintheusa	1	Wsyp lód do shakera.	0
bornintheusa	2	Wlej wszystkie składniki do shakera.	0
bornintheusa	3	Wstrząśnij.	0
bornintheusa	4	Przecedź do kieliszka.	0
boulevardier	1	Wsyp lód do szklanicy barmańskiej.	0
boulevardier	2	Wlej wszystkie składniki.	0
boulevardier	3	Dobrze wymieszaj.	0
boulevardier	4	Przelej do schłodzonego kieliszka do koktajli.	0
boulevardier	5	Ozdób skórką pomarańczową.	0
bramble	1	Wsyp lód do shakera.	0
bramble	2	Wlej wszystkie składniki do shakera, oprócz Crème de Mûre.	0
bramble	3	Wstrząśnij dobrze z lodem.	0
bramble	4	Wsyp kruszony lód do szklanki typu old fashioned.	0
bramble	5	Przelej składniki do szklanki.	0
bramble	6	Wlej likier jeżynowy (Crème de Mûre) na wierzch drinka, ruchem okrężnym.	0
brandycrusta	1	Wsyp lód do szklanicy barmańskiej.	0
brandycrusta	2	Wymieszaj wszystkie składniki w szklanicy	0
brandycrusta	3	Przecedź do przygotowanej wąskiej szklanki koktajlowej.	0
brandycrusta	4	Przetrzyj plasterek pomarańczy (lub cytryny) wokół brzegu szklanki i zanurz go w rozdrobnionym białym cukrze, aby cukier przylegał do krawędzi szklanki. Ostrożnie, tworząc delikatny krąg.	0
brandycrusta	5	Umieść skórkę pomarańczy / cytryny wewnątrz szklanki.	0
caipirinha	1	Umieść limonkę i cukier w szklance old fashioned i delikatnie rozgnieć.	0
caipirinha	2	Napełnij szklankę kruszonym lodem i dodaj Cachaça.	0
caipirinha	3	Delikatnie wymieszaj, aby składniki się połączyły.	0
caipiroska	1	Umieść limonkę i cukier w podwójnej szklance typu old fashioned i delikatnie rozgnieć.	0
caipiroska	2	Napełnij szklankę kruszonym lodem i dodaj wódkę.	0
caipiroska	3	Delikatnie wymieszaj, aby składniki się połączyły.	0
canchanchara	1	Wymieszaj miód z wodą i sokiem z limonki.	0
canchanchara	2	Rozsmaruj mieszankę na dnie i ściankach szklanki.	0
canchanchara	3	Dodaj kruszony lód	0
canchanchara	4	Dodaj rum.	0
canchanchara	5	Energicznie mieszaj od dołu do góry.	0
canchanchara	6	Udekoruj plasterkiem limonki.	0
captainjack	1	Wsyp lód do shakera.	0
captainjack	2	Wlej wszystkie składniki do shakera.	0
captainjack	3	Wstrząśnij.	0
captainjack	4	Przecedź do szklanki (bez lodu).	0
casino	1	Wsyp lód do shakera.	0
casino	2	Wlej wszystkie składniki do shakera	0
casino	3	Dobrze wstrząśnij.	0
casino	4	Odcedź do schłodzonej szklanki typu rocks z lodem.	0
casino	5	Ozdób skórką cytryny i wiśnią maraschino.	0
casinoroyale	1	Wsyp lód do shakera.	0
casinoroyale	2	Wlej wszystkie składniki do shakera.	0
casinoroyale	3	Wstrząśnij.	0
casinoroyale	4	Przecedź do szklanki.	0
castaway	1	Wsyp lód do shakera.	0
castaway	2	Wlej wszystkie składniki do shakera.	0
castaway	3	Wstrząśnij.	0
castaway	4	Przecedź do szklanki wypełnionej lodem.	0
champagnecocktail	1	Umieść kostkę cukru w dużym kieliszku do szampana	0
champagnecocktail	2	Dodaj 2 krople bittersa	0
champagnecocktail	3	Dodaj koniak.	0
champagnecocktail	4	Delikatnie wlej schłodzony szampan.	0
champagnecocktail	5	Ozdób skórką pomarańczy i wiśnią maraschino.	0
cloverclub	1	Wsyp lód do shakera.	0
cloverclub	2	Wlej wszystkie składniki do shakera	0
cloverclub	3	Dobrze wstrząśnij z lodem.	0
cloverclub	4	Odcedź do schłodzonej szklanki koktajlowej.	0
cloverclub	5	Ozdób świeżymi malinami.	0
cocoextasy	1	Wypełnij szklankę lodem.	0
cocoextasy	2	Wlej syrop curacao.	0
cocoextasy	3	Delikatnie wlej po odwróconej łyżce sok ananasowy.	0
cocoextasy	4	Do shakera wlej likier curacao, malibou wódkę - bez lodu.	0
cocoextasy	5	Wstrząśnij.	0
cocoextasy	6	Delikatnie wlej po odwróconej łyżce by utworzyć trzecią warstwę.	0
coolnight	1	Wsyp lód do shakera.	0
coolnight	2	Wlej wszystkie składniki oprócz Coli do shakera.	0
coolnight	3	Energicznie wstrząśnij.	0
coolnight	4	Przecedź do trzech kieliszków po 50ml.	0
corpsereviver2	1	Wsyp lód do shakera.	0
corpsereviver2	2	Wlej wszystkie składniki do shakera.	0
corpsereviver2	3	Dobrze wstrząśnij.	0
corpsereviver2	4	Odcedź do schłodzonej szklanki koktajlowej.	0
corpsereviver2	5	Ozdób skórką pomarańczy.	0
cosmopolitan	1	Wsyp lód do shakera.	0
cosmopolitan	2	Dodaj wszystkie składniki do shakera.	0
cosmopolitan	3	Dobrze wstrząśnij.	0
cosmopolitan	4	Odcedź do dużej szklanki koktajlowej.	0
cosmopolitan	5	Ozdób skręconą skórką cytryny.	0
costamesa	1	Na spód szklanki wypełnionej lodem wlej syrop blue curacao.	0
costamesa	2	Wlej sok pomarańczowy, syrop cukrowy  i 50 ml wódki do shakera bez lodu.	0
costamesa	3	Wstrząśnij.	0
costamesa	4	Przecedź delikatnie po odwróconej łyżce do szklanki tak by utworzyć warstwę.	0
costamesa	5	Sok z cytryny, 50 ml wódki i grenadynę wlej do shakera bez lodu.	0
costamesa	6	Wstrząśnij.	0
costamesa	7	Przecedź delikatnie po odwróconej łyżce do szklanki tak by utworzyć trzecią warstwę.	0
cottoneyejoe	1	Wsyp lód do shakera.	0
cottoneyejoe	2	Wlej wszystkie składniki do shakera.	0
cottoneyejoe	3	Wstrząśnij.	0
cottoneyejoe	4	Przecedź do szklanki wypełnionej lodem.	0
cottoneyejoe	5	Udekoruj pomarańczą i miętą.	0
cruelsummer	1	Wsyp lód do szklanki.	0
cruelsummer	2	Wlej rum, Malibou oraz sok z cytryny.	0
cruelsummer	3	Dopełnij sokiem ananasowym.	0
cruelsummer	4	Wlej powoli grenadynę tak by opadła i utworzyła gradient na dnie szklanki.	0
cubalibre	1	Wsyp lód do szklanki typu highball.	0
cubalibre	2	Dodaj wszystkie składniki.	0
cubalibre	3	Zamieszaj	0
cubalibre	4	Ozdób plasterkiem limonki.	0
czasapokalipsy	1	Wsyp lód do shakera.	0
czasapokalipsy	2	Wlej wszystkie składniki do shakera.	0
czasapokalipsy	3	Wstrząśnij.	0
czasapokalipsy	4	Przecedź czterech do kieliszków 30 - 40 ml.	0
daiquiri	1	Dodaj wszystkie składniki do shakera.	0
daiquiri	2	Dobrze wymieszaj, aby rozpuścić cukier.	0
daiquiri	3	Dodaj lód i wstrząśnij.	0
daiquiri	4	Przecedź do schłodzonej szklanki koktajlowej.	0
darknstormy	1	Wsyp lód do szklanki typu highball.	0
darknstormy	2	Wlej piwo imbirowe.	0
darknstormy	3	Delikatnie wlej rum, aby unosił się na powierzchni.	0
darknstormy	4	Ozdób plasterkiem limonki.	0
devilinside	1	Wsyp lód do shakera.	0
devilinside	2	Wlej wszystkie składniki do shakera.	0
devilinside	3	Wstrząśnij.	0
devilinside	4	Przecedź do szklanki.	0
dirtydancing	1	Wsyp lód do shakera.	0
dirtydancing	2	Wlej wszystkie składniki oprócz Sprite do shakera.	0
dirtydancing	3	Energicznie wstrząśnij.	0
dirtydancing	4	Przecedź do szklanki wypełnionej lodem.	0
dirtydancing	5	Uzupełnij Spritem.	0
dirtydancing	6	Wrzuć pół plasterka cytryny.	0
drymartini	1	Wsyp lód do szklalnicy barmańskiej.	0
drymartini	2	Wlej wszystkie składniki.	0
drymartini	3	Dobrze wymieszaj.	0
drymartini	4	Przecedź do schłodzonego kieliszka do martini.	0
drymartini	5	Wyciśnij olejek z skórki cytryny na napój.	0
dzidzi	2	Wsyp lód do shakera.	0
dzidzi	3	Wlej wszystkie składniki do shakera.	0
dzidzi	4	Wstrząśnij.	0
dzidzi	5	Przecedź do kieliszka.	0
easylover	1	Wsyp lód do shakera.	0
easylover	2	Wlej rum i sok pomarańczowy do shakera.	0
easylover	3	Wstrząśnij.	0
easylover	4	Przecedź do kieliszków.	0
easylover	5	Do każdego kieliszka dodaj kilka kropli syropu malinowego.	0
espressomartini	1	Wsyp lód do shakera.	0
espressomartini	2	Wlej wszystkie składniki do shakera.	0
espressomartini	3	Dobrze wstrząśnij.	0
espressomartini	4	Odcedź do schłodzonej szklanki koktajlowej.	0
eternalflame	1	Wsyp lód do shakera.	0
eternalflame	2	Wlej wszystkie składniki oprócz syropu malinowego do shakera.	0
eternalflame	3	Energicznie wstrząśnij.	0
eternalflame	4	Przecedź do szklanki wypełnionej lodem.	0
eternalflame	5	Dolej syrop malinowy tak by opadł na dno.	0
eyeofthetiger	1	Wlej sok pomarańczowy i grenadynę do shakera - bez lodu.	0
eyeofthetiger	2	Wstrząśnij.	0
eyeofthetiger	3	Przecedź do szklanki wypełnionej lodem.	0
eyeofthetiger	4	Wlej do shakera gin, sok cytrynowy i sok grapefruitowy - bez lodu.	0
eyeofthetiger	5	Wstrząśnij.	0
eyeofthetiger	6	Przelej po odwróconej łyżce delikatnie tak, by utworzyć warstwę.	0
fernandito	1	Wsyp lód do szklanki do whiskey.	0
fernandito	2	Wlej Fernet Branca.	0
fernandito	3	Dopełnij szklankę Colą.	0
fernandito	4	Delikatnie wymieszaj.	0
firestarter	1	Wsyp lód do shakera.	0
